"DistanceToAirport","Precipitation","DistanceToMilitaryBase","DistanceToLandfill","DistanceToChem","DistanceToRubber","DistanceToTextile","DistanceToApparel","DistanceToFnB","DistanceToFurniture","DistanceToLeather","DistanceToMiscellaneous","DistanceToPaper","PopDen","Median.Earnings.Inflation.Adj.2020","Concentration","Latitude","Longitude","STUSPS"
6.51938326700316,487.52,10.8641139315494,10.1866162809044,7.73661285672449,6.06867875103741,11.1402144858351,10.9982415224879,7.36708472431179,8.27097098652199,11.9429231400048,6.06867875103741,7.31323758927599,182,43938,462000,34.4322924,-119.8400895,"CA"
10.7070219717372,1115.19,10.5679546979299,10.5265939260198,9.87484343884316,8.72147661815009,8.52238800136052,10.509815377701,10.2177312470022,10.0630414089236,11.1775112771364,8.64107028372644,8.64107028372644,116,39838,180000,42.878812,-73.284437,"NY"
7.73156799048727,329.75,8.43742795286298,9.74457136764579,7.85746581939597,8.21027631568424,9.10745689986034,9.87733071860304,7.57857860571193,8.81981408725259,9.43886628249265,8.20143113193959,8.37242853722653,230,74145,179000,33.9314346,-118.4287596,"CA"
6.67669052675401,503.6,10.2681673353597,7.820298004333,7.24609376884247,7.97339243191175,8.49378216210208,9.61951041069828,7.81600092108102,7.99104033658873,10.3638782049679,7.85114339590698,7.97954181486996,199,30836,174100,37.714361,-122.223083,"CA"
9.2592592797336,568.92,10.1988626657264,9.42909012209785,6.97779477821276,8.14997844369896,8.85517519602026,9.25999719551425,6.9283424192337,6.2785590475889,10.4447711308566,8.44345686469416,7.18425366042044,199,49081,71600,37.802267,-122.282231,"CA"
6.34987461794843,248.87,6.83259295963945,9.33648553200263,6.59997477144062,8.83522124691885,9.68938582739038,9.65378551894324,8.68031538316556,8.18994180509488,8.62198804371179,8.62198804371179,6.62005938861569,227,60599,65160,32.73845634,-117.1879907,"CA"
5.40629198876306,248.87,6.87554237607427,9.34445272328919,6.87768724416752,8.83309582880911,9.71065640192215,9.67454212201415,8.6544788870175,8.22374841153553,8.59584875520553,8.59584875520553,6.85494627343011,227,60599,61650,32.73542325,-117.1890193,"CA"
6.26100778811306,248.87,6.88410075163473,9.33328537625677,6.5861388424312,8.82723783933833,9.69320442696128,9.6582462697641,8.66829151164085,8.20804895938906,8.60933275069736,8.60933275069736,6.59128697866586,227,60599,60780,32.73785882,-117.1876237,"CA"
6.5929669612534,503.6,10.2652609471763,7.78754629123858,7.26980823860711,7.94887317704371,8.4742783345501,9.6246549176664,7.83136299777732,7.96102339456781,10.3632578587012,7.86093626096763,7.94768862874743,199,30836,52900,37.714806,-122.222167,"CA"
5.60053869581123,248.87,6.97646931538099,9.33494932826982,6.79839102358648,8.81699177594152,9.71109648044383,9.67649781964178,8.63754030644635,8.24954118008913,8.57764788578113,8.57764788578113,6.76321293195485,227,60599,43625,32.73523561,-117.1878644,"CA"
9.45899789998372,329.47,8.29870099141964,8.49946661794985,6.8262734753785,6.62481843752673,8.42782550152683,9.40827951516034,7.39634707454308,7.22764819298168,9.15850213740999,6.88046991617792,8.09119419158347,195,36032,43043,33.808003,-118.290149,"CA"
9.26134302613435,568.92,10.1979063842173,9.43067428272099,6.97891093191744,8.14230713492742,8.85139295051093,9.26021741751772,6.9266744190118,6.3147328538829,10.4439901073647,8.43780363069876,7.16421825623243,199,49081,41300,37.802508,-122.282206,"CA"
9.31364763798146,529.83,8.51791255084482,8.6156453333812,6.02876941963741,7.46941847460138,9.30713525785929,10.5261422377189,7.14943802254956,7.06346111463798,9.51013256349167,7.38892965624443,7.38892965624443,173,63915,37300,38.0652439,-122.139418,"CA"
5.49080960176165,298.15,9.89185190263482,8.94084783971126,6.22775384973443,7.25748678797025,8.0092484322106,8.81204944548366,7.58410560509332,7.25748678797025,9.66882550027842,6.70096567081966,6.65933859067676,199,32173,33500,33.6774275,-117.8695919,"CA"
9.45057850267649,329.47,8.30612426381393,8.47795244806318,6.92767523688734,6.72915058010534,8.44127589471737,9.3994027452621,7.44873373539621,7.27548954896326,9.15756415659031,6.96303132397149,8.059253867224,195,36032,30043,33.808018,-118.288984,"CA"
6.2340644735528,312.27,9.05507614820826,8.9610338642198,7.35440628663712,6.93551821315803,8.75336606408342,7.14717825023651,8.81476564635354,7.98860514094379,9.45642132814432,7.09423702426597,6.79139488379085,225,32139,29490,33.8176399,-118.157512,"CA"
9.78016331400667,508.12,8.88624025246688,9.52008179772069,6.65492744970877,9.29496881317075,9.82645399552446,10.3257751975193,7.83919547965892,9.12324016873926,8.96944479858761,8.29044224599752,9.29389465835815,186,59456,28905,38.046607,-122.2452066,"CA"
9.2845195576333,529.83,8.59193189070797,8.54108062772885,5.92507797674581,7.24575084414239,9.26920426643986,10.5378405248612,6.60191709474871,6.60809746149677,9.54860195827435,7.10099686879965,7.10099686879965,173,63915,28900,38.0659764,-122.1325557,"CA"
9.45792180036957,329.47,8.29416596326343,8.4952778085845,6.83105173606345,6.66009688467583,8.43389875992218,9.40695395987487,7.41233082742701,7.2476443267338,9.16078873861499,6.90773192981487,8.08883449303727,195,36032,28043,33.807797,-118.289978,"CA"
9.493610088926,343.56,8.9990351547499,8.65031609447533,5.68373497607874,5.74438820687159,7.19998126328875,9.71829166525273,4.65109619267213,5.12059837859907,8.91946965498067,5.74438820687159,8.15545448715929,224,61374,27430,33.840665,-118.333253,"CA"
9.40834400141152,381.55,10.7389435000526,8.79937472975941,7.17673163407346,7.61564162335798,9.95003416190725,9.93372355032188,8.13300110961919,6.65381453778943,10.7964165302612,8.43497820078975,6.84899211008269,129,32482,22503.05,37.9447461,-121.3611328,"CA"
10.1742671726456,850.72,9.78082643044549,9.34715313577198,5.68590543110316,7.91235121927373,9.82324242667285,9.55953965702472,9.07197351209557,9.21110917727236,10.0160001238179,7.93844520508638,8.92740488860515,77,56672,21400,44.794259,-92.913548,"MN"
7.06410041201074,312.27,8.96612875653615,8.91142341870595,7.31566333930523,7.2215571695038,8.6349120843586,7.50235217052456,8.69884467063056,7.81995147195245,9.47762947156392,7.04513058706647,7.07516032358538,225,32139,21160,33.8219535,-118.163559,"CA"
9.36061908654364,529.83,8.70025344980854,8.68782868139325,4.94100743240505,6.72738667252531,9.34001847681898,10.5515845553751,6.75158745490713,5.63401095473777,9.50965657711165,6.55524871057355,6.67564916581924,173,63915,19690,38.0738015,-122.1355282,"CA"
6.32797971686607,248.87,6.88611257346611,9.33240794107163,6.55411245132313,8.82744519952899,9.69097984838178,9.65609393260193,8.67098980893666,8.20512718224747,8.61207431290571,8.61207431290571,6.56613426321637,227,60599,18417.5,32.73817278,-117.1875076,"CA"
6.60121675683326,503.6,10.2665333856773,7.80262748119071,7.24903150465683,7.96148734558046,8.48043162681991,9.6222351251483,7.81919607318622,7.97358160576914,10.3640533614741,7.85042233889661,7.96002721607284,199,30836,16550,37.714806,-122.222583,"CA"
8.86178442686021,415.62,9.73851477126762,9.43472449334537,7.38612367911085,7.3779887786253,8.63201767014277,10.2127459957307,7.22881341213244,8.50061074025369,9.90588469671088,7.8009758883962,7.47793408952592,235,36467,16480,37.358277277,-121.849428044,"CA"
10.1182551705423,1275.57,10.6075654504072,9.62771976294141,8.56270502740802,6.84233714091168,10.0779242470388,11.2673580387689,9.50758725135768,9.34860595304514,10.7314850624437,9.97871103407096,9.66532165552653,112,53305,14820,41.561798,-73.599297,"NY"
9.88499087203391,835.91,12.2503433559343,10.1563825683286,10.7767010248474,9.48753734858205,11.3807116635251,12.1573108724596,9.89595189787538,11.0697936013302,11.0954341074523,10.6673275634303,9.48753734858205,50,35755,13766.6666666667,45.6648622520556,-89.2198418451104,"WI"
